MU,ISI,Force Level
MU_3,0.10175781249999716,5
MU_3,0.09511718750000142,5
MU_3,0.09951171875000142,5
MU_3,0.10195312499999432,5
MU_3,0.10126953125000426,5
MU_3,0.10820312499999574,5
MU_3,0.09541015625000426,5
MU_3,0.11015624999999574,5
MU_3,0.10205078125,5
MU_3,0.0927734375,5
MU_3,0.10429687500000284,5
MU_3,0.11005859374999716,5
MU_3,0.09736328125000426,5
MU_3,0.10781250000000142,5
MU_3,0.0947265625,5
MU_3,0.11904296874999432,5
MU_3,0.12109375,5
MU_3,0.11484375000000568,5
MU_3,0.12167968749999858,5
MU_3,0.09921874999999858,5
MU_3,0.10605468750000568,5
MU_3,0.09941406249998863,5
MU_3,0.09677734375000568,5
MU_3,0.08281250000000284,5
MU_3,0.11171874999999432,5
MU_3,0.10380859375000284,5
MU_3,0.09648437500000284,5
MU_3,0.11064453125000284,5
MU_3,0.10029296874999716,5
MU_3,0.11757812499999432,5
MU_3,0.10966796875000284,5
MU_3,0.109375,5
MU_3,0.12080078124999716,5
MU_3,0.11191406250000568,5
MU_3,0.10410156249999147,5
MU_3,0.13046875000000568,5
MU_3,0.10380859375000284,5
MU_3,0.12373046874999716,5
MU_3,0.09931640624999716,5
MU_3,0.10380859375000284,5
MU_3,0.11103515624999716,5
MU_3,0.10312500000000568,5
MU_3,0.10390624999999432,5
MU_3,0.10175781249999716,5
MU_3,0.12099609375000853,5
MU_3,0.10332031250000284,5
MU_3,0.09199218749999716,5
MU_3,0.10019531249999147,5
MU_3,0.09794921875000284,5
MU_3,0.11103515624999716,5
MU_3,0.11572265625,5
MU_3,0.10195312500000853,5
MU_3,0.10332031250000284,5
MU_3,0.11552734374998863,5
MU_3,0.09023437500000853,5
MU_3,0.10263671874999147,5
MU_3,0.09941406250000284,5
MU_3,0.10595703125,5
MU_3,0.09033203125,5
MU_3,0.10625000000000284,5
MU_3,0.10175781249999716,5
MU_3,0.10585937500000853,5
MU_3,0.10205078125,5
MU_3,0.10878906249999432,5
MU_3,0.10371093749999716,5
MU_3,0.1083984375,5
MU_3,0.1064453125,5
MU_3,0.09755859375000853,5
MU_3,0.1064453125,5
MU_3,0.09775390624999147,5
MU_3,0.10361328125000568,5
MU_3,0.10791015625,5
MU_3,0.10205078125,5
MU_3,0.09619140625,5
MU_3,0.09912109375,5
MU_3,0.10380859375000284,5
MU_3,0.09873046874999147,5
MU_3,0.10410156250000568,5
MU_3,0.10048828124999432,5
MU_3,0.10478515625000284,5
MU_3,0.10195312499999432,5
MU_3,0.08847656250000568,5
MU_3,0.10205078125,5
MU_3,0.09550781250000284,5
MU_3,0.08828124999999432,5
MU_3,0.10703125000000568,5
MU_3,0.10869140625000284,5
MU_3,0.10947265624999147,5
MU_3,0.11113281250000284,5
MU_3,0.10390624999999432,5
MU_3,0.10664062500001137,5
MU_3,0.10263671874999147,5
MU_3,0.09609375000000853,5
MU_3,0.09296874999999716,5
MU_3,0.111328125,5
MU_3,0.10654296874999147,5
MU_3,0.09892578125000284,5
MU_3,0.10507812500000568,5
MU_3,0.09443359374999716,5
MU_3,0.10917968750000284,5
MU_3,0.11874999999999147,5
MU_3,0.11416015625000853,5
MU_3,0.12353515625,5
MU_3,0.11005859374999716,5
MU_3,0.11054687499999716,5
MU_3,0.12119140625000568,5
MU_3,0.10869140625000284,5
MU_3,0.10488281249999432,5
MU_3,0.11884765624999716,5
MU_3,0.12275390624999716,5
MU_3,0.11083984375,5
