Folder,File,Muscle,Force_Level,Plateau,MU,ISI_Mean_ms,ISI_SD_ms,ISI_CV,Firing_Rate_Hz,Num_Spikes
P02_iEMG_Ramps,VL_05.mat,VL,5,1,9,125.81760153785488,8.446504914624153,0.06713293538728636,7.948013535285274,318
P02_iEMG_Ramps,VL_05.mat,VL,5,1,10,146.17412195796462,24.106004567210963,0.16491294248473845,6.841156195127142,227
P02_iEMG_Ramps,VL_05.mat,VL,5,1,11,146.26641219106463,14.613713958518241,0.09991161839280412,6.836839606715189,264
P02_iEMG_Ramps,VL_05.mat,VL,5,2,1,132.5595703125,10.163741368374662,0.07667301081630203,7.5437782247073475,301
P02_iEMG_Ramps,VL_05.mat,VL,5,2,2,146.50563595479704,14.534184751649647,0.0992056357213045,6.825675978148313,272
P02_iEMG_Ramps,VL_05.mat,VL,5,2,3,156.98828125,19.558759532825455,0.1245873856130612,6.369902212048073,251
P02_iEMG_Ramps,VL_05.mat,VL,5,2,4,148.82963905038758,15.819181522328583,0.10629053206917245,6.719091750679051,259
P02_iEMG_Ramps,VL_05.mat,VL,5,2,5,131.63060068294703,7.9726379481674,0.06056827141107371,7.597017675309839,303
P02_iEMG_Ramps,VL_05.mat,VL,5,2,6,125.8647353115142,8.746066840326085,0.06948782610696826,7.945037166486769,318
P02_iEMG_Ramps,VL_05.mat,VL,5,2,7,158.674609375,13.829434751046309,0.08715594010609998,6.302205525754111,251
P02_iEMG_Ramps,VL_05.mat,VL,5,2,8,155.92890625,20.271933334734744,0.13000753883460747,6.413179083015597,251
P02_iEMG_Ramps,VL_05.mat,VL,5,2,9,136.22180300767917,8.661091992036598,0.06358080572130109,7.340968757722488,294
P02_iEMG_Ramps,VL_05.mat,VL,5,2,10,147.97316511015325,18.245656045957766,0.12330381682635125,6.7579820926016305,262
P02_iEMG_Ramps,VL_05.mat,VL,5,2,11,164.30838448660714,16.229200897053445,0.09877281033322007,6.086116683117352,225
P02_iEMG_Ramps,VL_05.mat,VL,5,3,1,142.08176427607913,14.707641218181182,0.10351533353430746,7.038200891543687,279
P02_iEMG_Ramps,VL_05.mat,VL,5,3,2,146.41987142527674,12.992003168692767,0.0887311472290361,6.829674075423127,272
P02_iEMG_Ramps,VL_05.mat,VL,5,3,3,167.2076905327004,25.62418165384997,0.15324762618402835,5.980586160924412,238
P02_iEMG_Ramps,VL_05.mat,VL,5,3,4,153.73722956730768,22.210568582482747,0.14447098237033562,6.504605311377685,261
P02_iEMG_Ramps,VL_05.mat,VL,5,3,5,140.91659330985917,9.435983565826096,0.0669614794410866,7.096396361222816,285
P02_iEMG_Ramps,VL_05.mat,VL,5,3,6,131.56995271381578,8.55463936825635,0.06501970390506989,7.60051956676726,305
P02_iEMG_Ramps,VL_05.mat,VL,5,3,7,163.9913676697531,17.298788685045484,0.10548597118771459,6.097881944699715,244
P02_iEMG_Ramps,VL_05.mat,VL,5,3,8,156.88727458003953,33.52447083629213,0.21368508648028606,6.374003262385871,254
P02_iEMG_Ramps,VL_05.mat,VL,5,3,9,141.41075188386526,11.37693811481043,0.0804531336072227,7.071598069298565,283
P02_iEMG_Ramps,VL_05.mat,VL,5,3,10,152.76031494140625,20.61966496296214,0.13498050832685934,6.546202790846344,257
P02_iEMG_Ramps,VL_05.mat,VL,5,3,11,163.31740359042553,19.994078623478035,0.1224246662261424,6.1230461543941965,236
P02_iEMG_Ramps,VL_05.mat,VL,5,4,1,145.57553033759123,15.837980387080904,0.10879562211006517,6.869286326355735,275
P02_iEMG_Ramps,VL_05.mat,VL,5,4,2,148.27921700743494,15.149188322512291,0.10216663284479502,6.744033453790483,270
P02_iEMG_Ramps,VL_05.mat,VL,5,4,3,169.67375268240343,18.15536453452688,0.1070016089554536,5.8936634817749765,234
P02_iEMG_Ramps,VL_05.mat,VL,5,4,4,160.70033482142858,20.37182730038228,0.1267690407927252,6.222762392568799,246
P02_iEMG_Ramps,VL_05.mat,VL,5,4,5,140.57634441254416,10.278649090222935,0.0731179142065223,7.113572373637326,284
P02_iEMG_Ramps,VL_05.mat,VL,5,4,6,130.2179074754902,9.291152250954724,0.07135080290476575,7.679435335637086,307
P02_iEMG_Ramps,VL_05.mat,VL,5,4,7,172.32973845108697,18.289559264103882,0.10613118448673953,5.8028289776801,231
P02_iEMG_Ramps,VL_05.mat,VL,5,4,8,163.18037872942386,22.81162987082987,0.1397939510157332,6.128187762440124,244
P02_iEMG_Ramps,VL_05.mat,VL,5,4,9,142.29387555803572,11.481569009063803,0.08068912990131434,7.027709352059512,281
P02_iEMG_Ramps,VL_05.mat,VL,5,4,10,160.05939094387756,24.685553596866608,0.15422746176462854,6.24768090208862,246
P02_iEMG_Ramps,VL_05.mat,VL,5,4,11,164.7808527542373,21.142114725490732,0.12830443811953796,6.068666251481608,237
P02_iEMG_Ramps,VL_15.mat,VL,15,1,1,119.89206827309236,7.392419570321381,0.061658954397907216,8.340835339683869,250
P02_iEMG_Ramps,VL_15.mat,VL,15,1,2,123.1835133744856,7.399044649279751,0.06006521852308427,8.11796946365653,244
P02_iEMG_Ramps,VL_15.mat,VL,15,1,3,117.14077818627452,9.032834396812783,0.0771109304263711,8.53673686894775,256
P02_iEMG_Ramps,VL_15.mat,VL,15,1,4,146.78073067196533,15.146506324661457,0.10319138115282862,6.812883376598403,174
P02_iEMG_Ramps,VL_15.mat,VL,15,1,5,115.06760817307692,6.838056056435326,0.05942642038887246,8.69054302837222,261
P02_iEMG_Ramps,VL_15.mat,VL,15,1,6,123.30231469524793,7.354210879194866,0.059643737405671735,8.110147830327309,243
P02_iEMG_Ramps,VL_15.mat,VL,15,1,7,129.0203226023707,10.021389833344257,0.07767295594376476,7.75071694001194,233
P02_iEMG_Ramps,VL_15.mat,VL,15,1,8,128.3422009698276,14.17121278804602,0.11041740503871816,7.791669399803214,233
P02_iEMG_Ramps,VL_15.mat,VL,15,1,9,121.83649326727642,23.840739296342644,0.1956781474663957,8.207721456708947,247
P02_iEMG_Ramps,VL_15.mat,VL,15,1,10,135.21281108597285,21.66375379949388,0.16021968351593058,7.395748908468196,222
P02_iEMG_Ramps,VL_15.mat,VL,15,1,11,127.28365384615384,21.48069776493621,0.16876242247806353,7.856468366383381,235
P02_iEMG_Ramps,VL_15.mat,VL,15,2,1,118.40704055059524,7.970084009634974,0.06731089614750875,8.445443745152136,253
P02_iEMG_Ramps,VL_15.mat,VL,15,2,2,120.95378922064778,6.288598131811581,0.05199174141076075,8.267620274183953,248
P02_iEMG_Ramps,VL_15.mat,VL,15,2,3,113.56977982954545,9.852055700327112,0.08674891960796137,8.80515927301153,265
P02_iEMG_Ramps,VL_15.mat,VL,15,2,4,142.88994817450495,15.61087012170489,0.10925100275521164,6.9983929084972845,203
P02_iEMG_Ramps,VL_15.mat,VL,15,2,5,113.46250591856061,6.063905950065822,0.053444139109868415,8.813484171747138,265
P02_iEMG_Ramps,VL_15.mat,VL,15,2,6,117.48162217027559,6.236814767028627,0.05308757788506792,8.511969630029618,255
P02_iEMG_Ramps,VL_15.mat,VL,15,2,7,124.03113654045643,8.21186016401558,0.06620805382475099,8.062491628251914,242
P02_iEMG_Ramps,VL_15.mat,VL,15,2,8,124.82828776041667,12.36582264719088,0.09906266335179284,8.011004700467439,241
P02_iEMG_Ramps,VL_15.mat,VL,15,2,9,116.72706604003906,6.729341695965173,0.05765022564395572,8.566993362593262,257
P02_iEMG_Ramps,VL_15.mat,VL,15,2,10,134.35222813901345,9.842583781986136,0.0732595500522855,7.443121813843727,224
P02_iEMG_Ramps,VL_15.mat,VL,15,2,11,121.22303580465586,9.322826861789949,0.07690639654341905,8.249257192432006,248
P02_iEMG_Ramps,VL_15.mat,VL,15,3,1,118.81549169146825,7.696037311085776,0.06477301235322332,8.416410905378651,253
P02_iEMG_Ramps,VL_15.mat,VL,15,3,2,122.99302340534979,7.143477606515009,0.05808034804520702,8.13054246747221,244
P02_iEMG_Ramps,VL_15.mat,VL,15,3,3,113.94844346374046,9.512322396327276,0.08347917801399536,8.775898727552255,263
P02_iEMG_Ramps,VL_15.mat,VL,15,3,4,142.57061298076923,13.637660497808064,0.09565548055578321,7.014068180620686,209
P02_iEMG_Ramps,VL_15.mat,VL,15,3,5,114.30328602099236,5.826398358660143,0.05097314837991706,8.748654870834992,263
P02_iEMG_Ramps,VL_15.mat,VL,15,3,6,118.34077380952381,6.87391698418764,0.058085787027652866,8.450172901603269,253
P02_iEMG_Ramps,VL_15.mat,VL,15,3,7,124.8688382583682,9.88311472091493,0.07914796724916759,8.008403168858537,240
P02_iEMG_Ramps,VL_15.mat,VL,15,3,8,124.64558919270833,12.883477583178802,0.10336087836417782,8.022746785319052,241
P02_iEMG_Ramps,VL_15.mat,VL,15,3,9,118.07755597933071,6.652340226345215,0.056338735767106296,8.469009979974928,255
P02_iEMG_Ramps,VL_15.mat,VL,15,3,10,133.63255092075892,8.576342399202899,0.06417854287828777,7.483206697094164,225
P02_iEMG_Ramps,VL_15.mat,VL,15,3,11,122.28077168367346,10.235088695876177,0.08370153831178949,8.177900631727178,246
P02_iEMG_Ramps,VL_15.mat,VL,15,4,1,122.11535395408163,7.552768801535702,0.06184946083336686,8.188978434079834,246
P02_iEMG_Ramps,VL_15.mat,VL,15,4,2,124.05869100103735,7.341898702867845,0.05918084935142879,8.060700882227092,242
P02_iEMG_Ramps,VL_15.mat,VL,15,4,3,116.07921511627907,9.955385556566776,0.08576372218397799,8.61480669901393,259
P02_iEMG_Ramps,VL_15.mat,VL,15,4,4,147.48354756773398,15.132228842306317,0.102602826497353,6.780417317672233,204
P02_iEMG_Ramps,VL_15.mat,VL,15,4,5,116.06975230135659,6.591850820703206,0.056792150323441,8.615509038079615,259
P02_iEMG_Ramps,VL_15.mat,VL,15,4,6,122.01490752551021,6.325108165437692,0.05183881456546835,8.195719853255845,246
P02_iEMG_Ramps,VL_15.mat,VL,15,4,7,128.87341729525863,9.816550809430714,0.07617203776741842,7.759552132531143,233
P02_iEMG_Ramps,VL_15.mat,VL,15,4,8,126.73463983050847,14.11292840299704,0.11135809769034966,7.890502559816111,237
P02_iEMG_Ramps,VL_15.mat,VL,15,4,9,120.84882182459677,7.304308623341204,0.06044170322109449,8.274801399813619,249
P02_iEMG_Ramps,VL_15.mat,VL,15,4,10,135.77192826704547,8.709274725368749,0.06414635806187237,7.365292757963428,221
P02_iEMG_Ramps,VL_15.mat,VL,15,4,11,124.1445960840249,10.7471668542923,0.08656975167101341,8.05512307054565,242
P02_iEMG_Ramps,VL_30.mat,VL,30,2,1,107.79138513513513,6.216320749697138,0.05766992178367414,9.277179236043095,186
P02_iEMG_Ramps,VL_30.mat,VL,30,2,2,114.52889278017241,7.726174873163315,0.06746048691829223,8.731421178753621,175
P02_iEMG_Ramps,VL_30.mat,VL,30,2,3,97.72913490853658,6.857248500269431,0.07016585695439789,10.23236316310266,206
P02_iEMG_Ramps,VL_30.mat,VL,30,2,4,130.84138569078948,12.636396321840442,0.09657797687731134,7.642841710368668,153
P02_iEMG_Ramps,VL_30.mat,VL,30,2,5,138.140869140625,11.441036918655314,0.08282152117494308,7.2389873194008745,145
P02_iEMG_Ramps,VL_30.mat,VL,30,2,6,115.11978414017341,8.805282172500432,0.07648800107007539,8.686604196393985,174
P02_iEMG_Ramps,VL_30.mat,VL,30,2,7,162.61846823770492,11.650621028751237,0.07164389847603982,6.149363051054362,123
P02_iEMG_Ramps,VL_30.mat,VL,30,2,8,137.29862607758622,17.047683991063174,0.12416500061282246,7.283394077337008,146
P02_iEMG_Ramps,VL_30.mat,VL,30,2,9,155.19332885742188,18.168013906222843,0.11706697729845097,6.443575940810658,129
P02_iEMG_Ramps,VL_30.mat,VL,30,2,10,148.04760377798507,18.095020610439285,0.1222243396629027,6.754584164020773,135
P02_iEMG_Ramps,VL_30.mat,VL,30,2,11,124.22238936335404,8.560233433962503,0.06891055209800849,8.050078614048966,162
P02_iEMG_Ramps,VL_30.mat,VL,30,2,12,194.07946654040404,30.28726209251946,0.15605598383182986,5.152528589580686,100
P02_iEMG_Ramps,VL_30.mat,VL,30,2,13,166.59499737394958,27.850131956054167,0.16717267862215582,6.002581204496419,120
P02_iEMG_Ramps,VL_30.mat,VL,30,2,14,106.61555815508021,10.395571616697485,0.09750520277327965,9.379494112345462,188
P02_iEMG_Ramps,VL_30.mat,VL,30,2,15,150.5511659564394,16.347572158562425,0.10858482599392451,6.642260082458217,133
P02_iEMG_Ramps,VL_30.mat,VL,30,2,16,176.96271623883928,16.98941092430977,0.09600559533331225,5.650907836712572,113
P02_iEMG_Ramps,VL_30.mat,VL,30,2,17,169.2242121292373,15.09609752499436,0.08920766913345357,5.909319874606924,119
P02_iEMG_Ramps,VL_30.mat,VL,30,2,18,144.7450958029197,8.471363342613339,0.058526081976191274,6.908696936865951,138
P02_iEMG_Ramps,VL_30.mat,VL,30,2,19,108.0513332201087,7.991483531367358,0.07396006410293988,9.254860353855372,185
P02_iEMG_Ramps,VL_30.mat,VL,30,2,20,109.5204112293956,7.215080429419468,0.06587886539530194,9.130718089666896,183
P02_iEMG_Ramps,VL_30.mat,VL,30,2,21,125.26410180817611,7.181499405447062,0.05733086576108207,7.983133120862957,160
P02_iEMG_Ramps,VL_30.mat,VL,30,3,1,106.25051944813829,6.061390513058549,0.05704810239555733,9.411718692708206,189
P02_iEMG_Ramps,VL_30.mat,VL,30,3,2,112.46855137711864,6.516422145462523,0.05793994912953301,8.891374413162813,178
P02_iEMG_Ramps,VL_30.mat,VL,30,3,3,97.65672637195122,7.578113321272056,0.07759950187567036,10.23995004902415,206
P02_iEMG_Ramps,VL_30.mat,VL,30,3,4,127.19197850318471,14.075027123163485,0.11065970738721598,7.8621310224760865,158
P02_iEMG_Ramps,VL_30.mat,VL,30,3,5,139.567854020979,10.914123826671172,0.07819940990875038,7.164973675454564,144
P02_iEMG_Ramps,VL_30.mat,VL,30,3,6,116.59470942982456,8.520753165880635,0.0730801012117026,8.576718488259324,172
P02_iEMG_Ramps,VL_30.mat,VL,30,3,7,166.79361979166666,14.736540247718564,0.08835194215537272,5.995433166142977,121
P02_iEMG_Ramps,VL_30.mat,VL,30,3,8,136.9605334051724,7.532592485749284,0.05499827065849329,7.301373433189581,146
P02_iEMG_Ramps,VL_30.mat,VL,30,3,9,158.1294952876984,12.039768544631205,0.07613866421774276,6.323930890822203,127
P02_iEMG_Ramps,VL_30.mat,VL,30,3,10,149.78397253787878,18.88052861009161,0.12605172830034886,6.676281734663638,133
P02_iEMG_Ramps,VL_30.mat,VL,30,3,11,125.9753263449367,7.027068039940526,0.055781304512754405,7.938062388994103,159
P02_iEMG_Ramps,VL_30.mat,VL,30,3,12,195.4991957720588,27.514736500577488,0.14074091912203127,5.115110556086094,103
P02_iEMG_Ramps,VL_30.mat,VL,30,3,13,164.4022791838843,16.199960943489423,0.09853854231162898,6.08264073323155,122
P02_iEMG_Ramps,VL_30.mat,VL,30,3,14,104.36232002617801,5.974887959710983,0.05725139071469718,9.58200239079739,192
